Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1526976000.0,2018-05-22 08-AM,ETHUSD,696.98,696.98,691,691.01,31.64,21899.41
1526972400.0,2018-05-22 07-AM,ETHUSD,698,698.49,691.64,696.98,57.39,39942.42
1526968800.0,2018-05-22 06-AM,ETHUSD,689,699,689,698,71.95,50011.07
1526965200.0,2018-05-22 05-AM,ETHUSD,690.18,691.9,686,689,94.53,65247.94
1526961600.0,2018-05-22 04-AM,ETHUSD,687.8,691.98,685.2,690.18,50.47,34656.45
1526958000.0,2018-05-22 03-AM,ETHUSD,691.37,691.37,685,687.8,40.69,27937.72
1526954400.0,2018-05-22 02-AM,ETHUSD,685.79,693,685.35,691.37,47.06,32402.83
1526950800.0,2018-05-22 01-AM,ETHUSD,694,694,681.02,685.79,207.75,142600.58
1526947200.0,2018-05-22 12-AM,ETHUSD,698,700.91,694,694,49.95,34795.82
1526943600.0,2018-05-21 11-PM,ETHUSD,696,702.26,695.31,698,107.47,75272.53
1526940000.0,2018-05-21 10-PM,ETHUSD,695,697.7,693.82,696,26.89,18698.65
1526936400.0,2018-05-21 09-PM,ETHUSD,699.94,700.29,694.82,695,58.08,40521.9
1526932800.0,2018-05-21 08-PM,ETHUSD,698,699.95,692,699.94,54.12,37669.99
1526929200.0,2018-05-21 07-PM,ETHUSD,691.71,698,690,698,70.4,48796.81
1526925600.0,2018-05-21 06-PM,ETHUSD,695.1,695.1,689,691.71,222.84,154141.03
1526922000.0,2018-05-21 05-PM,ETHUSD,696.7,699.58,692.7,695.1,100.74,70050.89
1526918400.0,2018-05-21 04-PM,ETHUSD,698,701,693,696.7,91.83,64074.67
1526914800.0,2018-05-21 03-PM,ETHUSD,696,702,694,698,227.42,158381.82
1526911200.0,2018-05-21 02-PM,ETHUSD,709,709.88,694.4,696,159.78,111876.47
1526907600.0,2018-05-21 01-PM,ETHUSD,709,711.51,706.6,709,44.43,31442.38
1526904000.0,2018-05-21 12-PM,ETHUSD,710.01,712.99,707.06,709,41.59,29535.67
1526900400.0,2018-05-21 11-AM,ETHUSD,704.22,713,704.22,710.01,111.08,79028.84
1526896800.0,2018-05-21 10-AM,ETHUSD,713,714,704.2,704.22,125.83,89154.52
1526893200.0,2018-05-21 09-AM,ETHUSD,718.97,719,711,713,158.01,113097.72
1526889600.0,2018-05-21 08-AM,ETHUSD,718.5,719,715,718.97,95.58,68520.58
1526886000.0,2018-05-21 07-AM,ETHUSD,716,718.9,715,718.5,35.45,25420.89
1526882400.0,2018-05-21 06-AM,ETHUSD,714.56,718.9,713,716,50.34,36007.3
1526878800.0,2018-05-21 05-AM,ETHUSD,718.9,718.9,713,714.56,145.61,104110.08
1526875200.0,2018-05-21 04-AM,ETHUSD,713,719,711,718.9,139.16,99509.84
1526871600.0,2018-05-21 03-AM,ETHUSD,714.61,714.61,709.99,713,27.08,19325.9
1526868000.0,2018-05-21 02-AM,ETHUSD,705,714.86,704.4,714.61,103.11,73102.56
1526864400.0,2018-05-21 01-AM,ETHUSD,715,716.14,705,705,347.74,248006.22
1526860800.0,2018-05-21 12-AM,ETHUSD,715.09,720,712.79,715,794.0,568669.01
1526857200.0,2018-05-20 11-PM,ETHUSD,716,718.93,711.7,715.09,595.47,427562.06
1526853600.0,2018-05-20 10-PM,ETHUSD,720,723.18,711.75,716,359.04,257623.7
1526850000.0,2018-05-20 09-PM,ETHUSD,722.55,723.9,720,720,41.89,30239.28
1526846400.0,2018-05-20 08-PM,ETHUSD,723.98,723.98,717.01,722.55,67.78,48973.52
1526842800.0,2018-05-20 07-PM,ETHUSD,723.16,725.03,715.59,723.98,138.48,99689.85
1526839200.0,2018-05-20 06-PM,ETHUSD,718.79,723.82,718,723.16,105.96,76303.63
1526835600.0,2018-05-20 05-PM,ETHUSD,719,723,716.2,718.79,110.17,79427.47
1526832000.0,2018-05-20 04-PM,ETHUSD,714.53,720.51,714,719,167.98,120743.53
